ID1;ID;D;SD;MATERIAL;COUNTRY;SITE;PERIOD;REFERENCE;SC
27383;F-30;5420;210;;Italy;Fossacesia;neolithic;RADON;IT2FOSSA
28007;F-31;5110;210;charcoal;Italy;Ripoli;neolithic;--;IT2RIPOL
27212;F-93;4920;210;charcoal;Italy;Catignano;neolithic;--;IT2CATI
27384;Fi-30;5420;210;;Italy;Fossacesia;neolithic;R, 1973, v 15, p 484;IT2FOSSA
;GAMS-8552;6060;30;;Italy;Trani  II Spiaggia di Colonna ;neolithic;Fiorentino 13;IT2TRA
;Gif-;5540;100;;Italy;Grotta della Tartaruga di Lama Giotta ;neolithic;Fiorentino 13;IT2GTA
27992;Gif-3766;5650;150;charcoal;Italy;Riparo Gaban;neolithic;Bagolini and Biagi 1987a, 428;﻿IT2GAB
;Gif-6338;5290;90;;Italy;Scamuso ;neolithic;Fiorentino 13;IT2SCA
;Gif-6339;7290;110;;Italy;Scamuso;neolithic;Fiorentino 13;IT2SCA
;Gif-6722;6530;70;;Italy;Grotta Sant’Angelo ;neolithic;Fiorentino 13;IT2OST
;Gif-6724;6890;70;seed;Italy;Grotta Sant’Angelo ;neolithic;;IT2OST
;Gif-6725;6900;80;;Italy;Torre Canne ;neolithic;Fiorentino 13;IT2TCA
;Gif-7054;5820;70;;Italy;Scamuso ;neolithic;Fiorentino 13;IT2SCA
;Gif-7055;6810;80;;Italy;Scamuso;neolithic;Fiorentino 13;IT2SCA
;Gif-7057;6040;70;;Italy;Scamuso ;neolithic;Fiorentino 13;IT2SCA
;Gif-7345;6600;120;;Italy;Scamuso ;neolithic;Fiorentino 13;IT2SCA
;Gif-7346;6320;80;;Italy;Scamuso ;neolithic;Fiorentino 13;IT2SCA
;GrA-14106;8045;60;bone;Italy;Edera;mesolithic;;IT2EDE
;GrA-14108;9930;50;charcoal;Italy;Edera;mesolithic;;IT2EDE
27281;GrA-17112;8100;60;;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
;GrM-12416;6184;18;bone;Italy;Ostiano-Dugali Alt;neolithic;Biagi et al 2020;IT2OSTI
;GrM-12418;6090;188;bone;Italy;Vho Campo Cerseole;neolithic;Biagi et al 2020;IT2CACE
;GrM-12690;5895;35;bone;Italy;Vho Campo Cerseole;neolithic;Biagi et al 2020;IT2CACE
;GrM-15257;6130;25;bone;Italy;Ostiano-Dugali Alt;neolithic;Biagi et al 2020;IT2OSTI
;GrM-15259;6190;25;bone;Italy;Vho Campo Cerseole;neolithic;Biagi et al 2020;IT2CACE
2327;GrN-10311;6560;40;charcoal;Croatia;Gudnja;neolithic;Muller 1991, 345;HR2GUD
2323;GrN-10312;6415;40;charcoal;Croatia;Gudnja;neolithic;Muller 1991, 345;HR2GUD
2324;GrN-10313;6520;40;charcoal;Croatia;Gudnja;neolithic;Muller 1991, 345;HR2GUD
2325;GrN-10314;6935;50;charcoal;Croatia;Gudnja ;neolithic;Muller 1991, 345;HR2GUD
2326;GrN-10315;7170;70;charcoal;Croatia;Gudnja ;neolithic;Muller 1991, 345;HR2GUD
27282;GrN-11818;8250;50;charcoal;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
27283;GrN-14106;8045;40;bone;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
2451;GrN-15236;6980;160;charcoal;Croatia;Tinj-Podlivade;neolithic;Muller 1991, 345;HR2TIN
2452;GrN-15237;6670;260;charcoal;Croatia;Tinj-Podlivade;neolithic;Muller 1991, 345;HR2TIN
2453;GrN-15238;6280;210;charcoal;Croatia;Tinj-Podlivade;neolithic;Muller 1991, 345;HR2TIN
;GrN-19838*;6690;180;bone;Italy;Fiorano;neolithic;Starnini 17;IT2FIO
;GrN-19839*;6540;60;bone;Italy;Fiorano;neolithic;Starnini 17;IT2FIO
;GrN-2056;9880;100;;Italy;Grotta Romanelli;mesolithic;Lo Vetro 2016;IT2GROROM
;GrN-211818;8250;50;seed/fruit;Italy;Edera;mesolithic;;IT2EDE
27284;GrN-23129;6590;100;charcoal;Italy;Edera;neolithic;Biagi 2001;IT2EDE
;GrN-23130;9810;70;charcoal;Italy;Edera;mesolithic;;IT2EDE
;GrN-23645;5850;80;charcoal;Italy;Isorella;neolithic;Starnini 17;IT2ISOR
27286;GrN-25137;8060;70;charcoal;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
27287;GrN-25138;8110;90;charcoal;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
27288;GrN-25139;8350;120;charcoal;Italy;Edera;mesolithic;Biagi 2002;IT2EDE
27289;GrN-25474;6480;40;marine shell;Italy;Edera;neolithic;Biagi 2002 questions marine reservoir correction;IT2EDE
;GrN-8012;3610;60;charcoal;Italy;Monte Covolo;neolithic;;IT2MCOV
27756;GrN-8013;4010;40;charcoal;Italy;Monte Covolo;neolithic;--;﻿IT2MCOV
;Gx-18756;5305;90;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;GX-18757;6720;130;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;Gx-18758;5395;90;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;Gx-18759;3210;265;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;GX-19019;4680;325;charcoal;Italy;Edera;neolithic;;IT2EDE
;GX-19020;5555;270;charcoal;Italy;Edera;neolithic;;IT2EDE
;GX-19021;4695;165;charcoal;Italy;Edera;neolithic;;IT2EDE
27290;GX-19022;6305;285;charcoal;Italy;Edera;neolithic;Biagi 2002;IT2EDE
;GX-19567;6445;210;charcoal;Italy;Edera;neolithic;;IT2EDE
27291;GX-19568;6615;390;charcoal;Italy;Edera;neolithic;Biagi 2002;IT2EDE
27292;GX-19569;6700;120;charcoal;Italy;Edera;neolithic;Biagi 2002;IT2EDE
;GX-21231;9495;50;charcoal;Italy;Palughetto;mesolithic;;IT2PALUG
